B071;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;20
B072;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B072;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B072;INSERT;--HT GREEN TEA CREME POWDER;D147;10
B072;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;20
B073;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B073;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B073;INSERT;--HT GREEN TEA CREME POWDER;D147;10
B073;INSERT;--HT FRUIT SQUASH KIWI DELIGHT;D155;20
B074;INSERT;--ESPRESSO CAIR;D143;30
B074;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;15
B074;INSERT;--MOSA SODA CHARGER;D141;120
B074;INSERT;--SIMPLE SYRUP;D181;15
B074;INSERT;--BUAH JERUK LEMON;D046;1
B075;INSERT;--ESPRESSO CAIR;D143;30
B076;INSERT;--SIMPLE SYRUP;D181;30
B076;INSERT;--PUREE SIRSAK;D188;1
B077;INSERT;--SIMPLE SYRUP;D181;30
B077;INSERT;--PUREE STRAWBERRY;D186;1
B078;INSERT;--AIR MINUM DALAM KEMASAN (AIR DEMINERAL) MEREK AMIDIS;A158;1
B079;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B079;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B079;INSERT;--SIMPLE SYRUP;D181;30
B079;INSERT;--POWDER DOGER;D196;30
B080;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B080;INSERT;--SUSU KENTAL MANIS;D194;15
B080;INSERT;--POWDER DOGER;D196;20
B081;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B081;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B081;INSERT;--SIMPLE SYRUP;D181;30
B081;INSERT;--POWDER DOGER;D196;30
B082;INSERT;--[MENU NO INGREDIENTS];Z000;1
B083;INSERT;--BEAN MANUAL PREMIUM;D178;1
B084;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B084;INSERT;--HT FRUIT SYRUP MANGO TANGO;D152;30
B084;INSERT;--MOSA SODA CHARGER;D141;1
B084;INSERT;--YAKULT;D265;1
B085;INSERT;--Teh Hitam Celup Goalpara;D182;12
B086;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B086;INSERT;--SIMPLE SYRUP;D181;30
B086;INSERT;--Teh Hitam Celup Goalpara;D182;12
B087;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B087;INSERT;--Teh Hitam Celup Goalpara;D182;12
B088;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B088;INSERT;--SIMPLE SYRUP;D181;30
B088;INSERT;--Teh Hitam Celup Goalpara;D182;12
B089;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;30
B090;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B090;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B090;INSERT;--HT DARK CHOCOLATE POWDER;D148;30
B091;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B091;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B091;INSERT;--HT GREEN TEA CREME POWDER;D147;30
B092;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;100
B092;INSERT;--LYCHEE POWDER;D165;30
